order_count,total_spent,last_month_expenditure,coupon_used,preferred_category,payment_method,location_type,rating_last_purchase,churned
11,19425,4269,Yes,Electronics,COD,Tier 3,5,0
5,16958,3752,Yes,Electronics,Credit Card,Tier 2,2,0
6,7684,1606,Yes,Electronics,COD,Tier 1,4,0
10,17225,0,No,Books,Wallet,Tier 1,1,0
8,14560,1261,Yes,Food,UPI,Tier 2,5,0
14,21109,0,Yes,Food,UPI,Tier 1,3,0
4,22374,0,Yes,Books,UPI,Tier 1,5,1
11,24563,7226,No,Food,UPI,Tier 1,3,0
15,3211,958,No,Electronics,Wallet,Tier 2,1,0
15,16007,0,Yes,Groceries,Credit Card,Tier 1,4,0
13,6622,0,Yes,Electronics,Credit Card,Tier 2,2,0
9,15548,2750,No,Groceries,COD,Tier 3,5,0
10,12812,0,Yes,Food,UPI,Tier 3,3,0
12,8863,195,Yes,Apparel,UPI,Tier 3,4,0
12,16814,1210,Yes,Apparel,UPI,Tier 1,2,1
17,24866,0,Yes,Electronics,UPI,Tier 1,3,0
17,2250,590,Yes,Books,UPI,Tier 1,1,1
12,12418,492,No,Apparel,Wallet,Tier 2,2,0
10,5306,1227,No,Electronics,Wallet,Tier 3,2,0
15,9320,869,No,Electronics,COD,Tier 2,2,0
18,3794,1293,Yes,Groceries,Credit Card,Tier 2,2,0
7,22276,3533,Yes,Electronics,Wallet,Tier 2,4,0
2,17014,2538,No,Apparel,UPI,Tier 3,4,0
17,12279,1733,Yes,Books,UPI,Tier 3,2,0
13,14237,2543,No,Groceries,COD,Tier 1,3,1
13,16275,759,No,Groceries,Credit Card,Tier 1,4,0
17,8936,2151,Yes,Books,Credit Card,Tier 3,4,1
10,7569,1363,No,Electronics,COD,Tier 2,5,0
17,2550,339,No,Electronics,Wallet,Tier 3,2,1
5,8332,0,Yes,Groceries,COD,Tier 1,5,1
9,4994,1390,Yes,Electronics,UPI,Tier 3,4,1
5,12760,0,Yes,Apparel,Credit Card,Tier 2,3,1
2,16012,716,Yes,Food,COD,Tier 2,4,1
19,4064,0,Yes,Apparel,COD,Tier 3,3,0
9,11245,1721,No,Books,COD,Tier 2,5,0
17,14332,5705,Yes,Books,UPI,Tier 2,5,0
3,24196,0,Yes,Groceries,COD,Tier 1,3,0
15,5175,283,Yes,Apparel,UPI,Tier 2,1,0
9,18102,6292,No,Apparel,Credit Card,Tier 2,1,0
5,17838,0,Yes,Books,Wallet,Tier 2,4,0
8,22254,4638,Yes,Books,UPI,Tier 3,5,0
13,9487,0,Yes,Groceries,UPI,Tier 1,1,0
13,15059,5489,No,Books,Wallet,Tier 2,3,0
2,6683,812,No,Groceries,UPI,Tier 3,3,1
1,18588,0,No,Electronics,UPI,Tier 2,5,1
10,21170,1946,No,Apparel,COD,Tier 2,5,1
19,22034,1520,Yes,Apparel,UPI,Tier 3,3,0
7,4498,0,Yes,Food,Credit Card,Tier 1,2,1
12,794,0,No,Electronics,Credit Card,Tier 2,5,1
17,2564,0,Yes,Apparel,Credit Card,Tier 1,2,1
13,1507,0,No,Groceries,Wallet,Tier 3,2,1
2,1935,724,No,Groceries,COD,Tier 3,5,1
20,18771,7132,Yes,Electronics,UPI,Tier 2,1,1
17,8573,360,No,Books,Credit Card,Tier 3,3,1
14,5299,1004,Yes,Apparel,COD,Tier 3,3,0
12,22010,0,Yes,Food,COD,Tier 1,1,0
15,12301,0,No,Food,COD,Tier 2,2,1
17,24150,1985,Yes,Food,COD,Tier 2,5,0
20,18707,0,Yes,Groceries,COD,Tier 2,4,0
3,19780,631,No,Books,Credit Card,Tier 2,5,1
16,21063,2616,No,Apparel,UPI,Tier 1,3,0
6,20482,1969,Yes,Electronics,Credit Card,Tier 1,1,1
12,5890,1334,Yes,Electronics,Credit Card,Tier 3,4,0
17,4176,1307,Yes,Books,UPI,Tier 3,2,1
3,17843,0,Yes,Electronics,COD,Tier 1,4,1
20,24609,504,No,Electronics,Wallet,Tier 2,1,1
20,2263,239,Yes,Apparel,Wallet,Tier 1,4,0
2,22347,8806,Yes,Books,COD,Tier 3,1,0
18,18273,5378,Yes,Apparel,Credit Card,Tier 1,3,0
1,18927,663,Yes,Food,COD,Tier 3,3,0
17,7231,536,Yes,Apparel,COD,Tier 1,4,0
10,9627,0,No,Apparel,COD,Tier 3,4,0
1,14556,475,Yes,Electronics,COD,Tier 1,4,0
7,10933,1053,No,Electronics,Wallet,Tier 2,2,1
2,605,0,No,Electronics,COD,Tier 2,1,1
3,17518,0,No,Apparel,Wallet,Tier 3,1,0
9,22267,5736,Yes,Electronics,Credit Card,Tier 1,4,0
7,958,219,Yes,Electronics,Wallet,Tier 2,2,1
3,24178,7205,No,Apparel,COD,Tier 2,3,1
12,10826,2188,Yes,Apparel,UPI,Tier 2,3,0
14,20311,7135,Yes,Food,UPI,Tier 2,5,0
19,24863,7292,No,Apparel,Wallet,Tier 3,5,1
9,16502,0,No,Groceries,Wallet,Tier 1,3,0
15,852,73,Yes,Apparel,COD,Tier 2,5,1
20,15640,0,Yes,Apparel,UPI,Tier 2,4,0
18,18596,4527,Yes,Apparel,Credit Card,Tier 1,2,1
4,11317,3636,No,Apparel,COD,Tier 2,2,1
12,20598,5355,No,Books,UPI,Tier 2,1,0
8,23779,6191,Yes,Apparel,COD,Tier 2,2,0
5,12697,1447,No,Groceries,Wallet,Tier 3,4,0
14,5099,1386,No,Electronics,UPI,Tier 1,1,0
2,21240,0,No,Apparel,COD,Tier 3,4,0
13,23946,2627,Yes,Groceries,UPI,Tier 3,3,0
16,6224,0,No,Food,Credit Card,Tier 2,1,0
20,6395,1845,No,Apparel,Credit Card,Tier 3,4,0
11,22936,5109,Yes,Apparel,Wallet,Tier 1,1,1
12,14635,5121,Yes,Apparel,Credit Card,Tier 2,4,0
20,20837,1390,Yes,Apparel,UPI,Tier 1,5,0
1,6762,0,No,Apparel,UPI,Tier 1,5,1
5,9700,2731,Yes,Books,Wallet,Tier 2,4,1
11,625,164,Yes,Apparel,COD,Tier 2,1,1
15,7070,1933,No,Apparel,Wallet,Tier 2,4,0
13,13095,1266,Yes,Apparel,Wallet,Tier 1,2,0
8,23696,8291,Yes,Apparel,Wallet,Tier 2,2,0
11,22973,0,No,Apparel,COD,Tier 2,2,1
8,802,25,Yes,Electronics,COD,Tier 1,1,1
1,3572,0,Yes,Electronics,COD,Tier 2,5,1
9,12365,0,Yes,Electronics,Wallet,Tier 2,2,1
6,17458,3049,No,Groceries,COD,Tier 3,5,0
13,20114,7117,Yes,Apparel,Credit Card,Tier 3,5,0
4,4614,1429,Yes,Books,Wallet,Tier 2,1,0
13,5950,790,Yes,Apparel,COD,Tier 3,1,0
1,5306,873,No,Groceries,Credit Card,Tier 1,5,0
17,9427,1003,No,Apparel,UPI,Tier 2,2,0
8,24001,4707,Yes,Electronics,COD,Tier 1,3,0
8,3363,1236,Yes,Electronics,COD,Tier 2,5,0
12,22136,5323,No,Electronics,Wallet,Tier 3,4,0
11,22329,6518,No,Apparel,COD,Tier 1,3,0
11,9706,457,No,Groceries,Wallet,Tier 1,1,1
19,12546,0,No,Electronics,Wallet,Tier 3,5,0
2,14145,1663,Yes,Food,UPI,Tier 2,4,0
15,13967,1932,No,Groceries,UPI,Tier 1,4,0
2,12708,4229,Yes,Electronics,COD,Tier 1,3,0
12,16445,1482,Yes,Electronics,COD,Tier 2,1,1
10,21931,4468,Yes,Groceries,COD,Tier 3,1,0
13,14173,0,No,Books,UPI,Tier 2,5,0
9,19981,0,Yes,Groceries,Credit Card,Tier 2,2,0
10,6795,748,No,Books,COD,Tier 2,5,0
19,4183,1145,Yes,Apparel,COD,Tier 3,2,1
10,3540,277,Yes,Books,UPI,Tier 1,1,1
2,17514,1538,Yes,Electronics,UPI,Tier 2,5,0
7,24211,2848,Yes,Electronics,COD,Tier 2,5,0
2,18227,0,Yes,Books,Wallet,Tier 2,5,0
10,23664,6700,Yes,Apparel,Wallet,Tier 1,4,0
4,18125,0,No,Books,Credit Card,Tier 3,5,0
8,14552,1352,Yes,Books,COD,Tier 1,1,0
9,17591,5912,No,Books,COD,Tier 2,4,0
8,24281,6761,No,Electronics,COD,Tier 3,4,0
3,9033,3593,No,Books,Credit Card,Tier 2,2,0
3,10186,437,No,Electronics,UPI,Tier 2,4,0
5,10560,3240,Yes,Electronics,COD,Tier 1,2,0
16,3583,0,No,Electronics,COD,Tier 1,4,1
3,2179,143,Yes,Groceries,COD,Tier 3,3,1
5,22983,5175,No,Groceries,COD,Tier 1,1,1
20,20921,0,No,Apparel,COD,Tier 1,1,1
12,10215,345,No,Groceries,Credit Card,Tier 1,1,0
13,19292,0,Yes,Electronics,Wallet,Tier 1,3,0
1,22846,2885,Yes,Apparel,Wallet,Tier 2,2,1
6,18326,4368,Yes,Electronics,Credit Card,Tier 2,4,0
10,4607,296,No,Electronics,Credit Card,Tier 3,2,1
10,8129,2603,Yes,Apparel,COD,Tier 2,4,0
15,14216,0,No,Groceries,Credit Card,Tier 1,3,0
18,7873,2075,Yes,Books,Credit Card,Tier 2,1,0
1,21143,1541,Yes,Groceries,Credit Card,Tier 1,5,0
3,18844,5148,No,Apparel,Credit Card,Tier 1,2,0
2,17847,0,Yes,Food,COD,Tier 2,4,0
12,8467,0,Yes,Apparel,COD,Tier 2,4,0
14,22661,0,Yes,Food,COD,Tier 1,5,0
2,5679,948,No,Groceries,UPI,Tier 3,5,1
10,6988,0,Yes,Apparel,Credit Card,Tier 2,3,1
15,5578,0,Yes,Books,UPI,Tier 1,3,0
14,9574,0,Yes,Apparel,Credit Card,Tier 2,4,0
4,2138,0,No,Electronics,COD,Tier 1,5,1
20,3792,835,Yes,Apparel,UPI,Tier 3,2,0
20,24754,2326,Yes,Apparel,Credit Card,Tier 2,3,0
14,10456,4039,Yes,Electronics,COD,Tier 1,2,0
6,8258,2302,Yes,Books,COD,Tier 2,5,0
18,15328,4975,No,Apparel,Credit Card,Tier 1,5,0
17,11734,0,Yes,Electronics,Credit Card,Tier 2,3,0
20,22771,0,Yes,Electronics,UPI,Tier 3,2,0
2,5219,1048,Yes,Apparel,Wallet,Tier 1,1,1
6,23048,1627,No,Books,Wallet,Tier 2,1,1
9,6772,332,Yes,Apparel,UPI,Tier 3,1,1
8,24335,6584,Yes,Groceries,UPI,Tier 2,3,0
17,16962,3244,No,Groceries,COD,Tier 3,5,0
12,23114,828,Yes,Apparel,COD,Tier 1,1,1
1,8288,498,Yes,Food,UPI,Tier 3,1,1
8,12589,4995,Yes,Apparel,Wallet,Tier 1,4,0
7,9464,2938,Yes,Groceries,Credit Card,Tier 1,2,0
16,11983,3803,Yes,Electronics,Credit Card,Tier 2,1,1
15,12324,0,No,Electronics,Credit Card,Tier 2,4,0
9,13004,467,Yes,Food,UPI,Tier 3,2,0
4,6478,1611,No,Apparel,UPI,Tier 3,5,1
16,10003,795,Yes,Electronics,COD,Tier 2,2,0
8,24453,0,Yes,Books,UPI,Tier 2,1,0
14,23151,1903,Yes,Apparel,Credit Card,Tier 1,4,0
12,1185,0,No,Apparel,Credit Card,Tier 3,5,0
7,11236,0,Yes,Books,COD,Tier 3,2,1
8,801,252,No,Food,COD,Tier 2,4,0
11,11273,3344,No,Apparel,COD,Tier 3,2,0
15,23463,2373,Yes,Electronics,UPI,Tier 2,3,0
12,11017,2692,No,Food,COD,Tier 3,3,0
19,16906,5949,Yes,Electronics,COD,Tier 2,1,1
15,23163,545,Yes,Apparel,Wallet,Tier 2,1,1
3,17332,0,Yes,Books,COD,Tier 1,3,0
10,24917,0,Yes,Food,COD,Tier 3,2,1
14,15066,4240,Yes,Apparel,Credit Card,Tier 2,5,0
4,15433,5235,No,Electronics,COD,Tier 2,4,0
14,14444,2308,No,Electronics,COD,Tier 1,3,0
6,12587,848,Yes,Groceries,Credit Card,Tier 2,5,0
10,15371,0,No,Books,Wallet,Tier 2,2,0
8,21850,0,Yes,Apparel,COD,Tier 3,4,0
13,15879,5593,Yes,Books,COD,Tier 3,5,0
5,21315,0,Yes,Books,COD,Tier 1,4,0
2,16529,2025,No,Books,UPI,Tier 3,4,0
14,23238,0,No,Apparel,Credit Card,Tier 2,5,0
6,13928,3016,Yes,Books,COD,Tier 3,5,0
17,11220,0,No,Books,COD,Tier 3,4,0
15,13758,1841,Yes,Food,COD,Tier 1,1,0
4,17543,1140,Yes,Apparel,COD,Tier 2,4,0
9,13389,1206,Yes,Food,Credit Card,Tier 3,5,1
3,21952,5326,Yes,Books,UPI,Tier 1,5,0
13,19494,2311,Yes,Electronics,UPI,Tier 1,2,1
5,10695,2076,No,Apparel,Wallet,Tier 2,5,0
4,15578,5695,No,Groceries,UPI,Tier 3,1,0
9,13993,0,Yes,Apparel,UPI,Tier 2,4,0
20,14475,363,No,Groceries,UPI,Tier 2,4,0
7,662,0,Yes,Books,COD,Tier 3,2,1
10,8396,376,Yes,Groceries,Wallet,Tier 1,5,0
11,3143,734,Yes,Apparel,UPI,Tier 2,5,0
1,14789,3377,Yes,Books,COD,Tier 2,5,0
12,4459,0,No,Groceries,Credit Card,Tier 1,1,1
18,20554,0,Yes,Books,COD,Tier 2,1,0
12,16876,0,Yes,Apparel,COD,Tier 1,1,0
4,23517,0,Yes,Books,COD,Tier 3,1,1
2,6671,305,Yes,Electronics,UPI,Tier 1,1,1
6,18401,3757,No,Electronics,UPI,Tier 2,5,0
16,13868,2714,Yes,Apparel,Credit Card,Tier 2,3,0
12,9035,565,No,Apparel,COD,Tier 1,3,0
19,2354,351,Yes,Groceries,Wallet,Tier 2,5,0
4,13671,1338,Yes,Groceries,UPI,Tier 3,5,0
20,15439,0,No,Groceries,COD,Tier 2,5,0
17,2613,0,Yes,Apparel,UPI,Tier 1,3,1
1,18461,1109,Yes,Groceries,COD,Tier 3,4,1
18,6046,2337,No,Apparel,Credit Card,Tier 1,4,0
9,10903,0,No,Electronics,Credit Card,Tier 3,1,0
16,2785,223,Yes,Electronics,UPI,Tier 1,4,0
2,19706,3113,Yes,Electronics,UPI,Tier 2,3,0
8,7129,0,No,Electronics,COD,Tier 2,1,0
8,1112,369,Yes,Food,Wallet,Tier 1,5,0
6,23393,0,Yes,Groceries,UPI,Tier 2,1,1
14,12650,2261,Yes,Groceries,COD,Tier 2,5,0
13,24213,0,No,Books,Wallet,Tier 2,2,0
5,10252,0,No,Apparel,UPI,Tier 3,4,1
2,24717,0,No,Groceries,UPI,Tier 2,5,1
9,10087,626,Yes,Apparel,UPI,Tier 2,4,0
11,22453,4368,No,Apparel,Wallet,Tier 1,5,0
3,1087,0,No,Apparel,COD,Tier 1,2,1
1,18599,5600,Yes,Books,UPI,Tier 3,2,1
16,9587,3257,No,Groceries,Wallet,Tier 1,3,0
3,13076,0,Yes,Apparel,COD,Tier 2,2,0
8,10987,0,Yes,Electronics,COD,Tier 3,1,1
1,21947,0,Yes,Electronics,Wallet,Tier 2,3,1
15,22809,1050,No,Books,UPI,Tier 1,1,0
14,8679,3047,Yes,Books,COD,Tier 3,1,1
13,24258,0,Yes,Apparel,COD,Tier 2,1,1
2,15723,1669,Yes,Electronics,Credit Card,Tier 3,5,0
3,14470,898,Yes,Apparel,Wallet,Tier 1,4,0
8,23883,0,No,Groceries,Credit Card,Tier 3,1,0
19,19830,6462,Yes,Apparel,Wallet,Tier 1,4,1
14,7730,2000,Yes,Apparel,UPI,Tier 1,1,0
15,24039,0,Yes,Food,Wallet,Tier 1,5,0
8,11204,0,No,Books,COD,Tier 2,1,1
14,18646,0,Yes,Books,COD,Tier 2,1,0
4,17871,4892,No,Apparel,Wallet,Tier 1,1,1
16,3024,388,Yes,Food,UPI,Tier 3,4,0
14,1992,88,No,Electronics,COD,Tier 3,4,0
12,16788,3686,Yes,Books,Credit Card,Tier 1,1,0
17,21461,5092,Yes,Electronics,Wallet,Tier 3,5,0
8,7081,2224,No,Apparel,Credit Card,Tier 1,1,0
20,23632,0,No,Food,COD,Tier 2,5,0
20,20624,5714,No,Food,Credit Card,Tier 3,4,0
12,16800,2013,Yes,Books,COD,Tier 3,2,1
9,10484,0,Yes,Food,UPI,Tier 2,1,0
12,9421,1044,No,Groceries,UPI,Tier 1,2,1
13,3300,655,Yes,Apparel,UPI,Tier 1,5,0
17,7296,2514,Yes,Books,Wallet,Tier 2,1,0
11,5487,0,No,Apparel,Credit Card,Tier 3,5,0
10,5982,0,No,Electronics,COD,Tier 2,1,0
5,5412,342,Yes,Apparel,COD,Tier 1,3,1
9,22554,6470,Yes,Apparel,Wallet,Tier 3,3,0
14,20512,3698,Yes,Books,COD,Tier 2,4,0
13,12031,1597,No,Apparel,COD,Tier 1,2,1
5,5115,106,Yes,Electronics,Credit Card,Tier 2,5,0
17,22690,2667,Yes,Apparel,Credit Card,Tier 1,4,0
4,17477,0,No,Apparel,COD,Tier 1,4,1
17,4308,612,No,Books,UPI,Tier 2,1,1
